,Valori Effettivi (Height),Predizioni (Height)
0,0.5942308,0.59418535
1,0.5926667,0.59414697
2,0.5963333,0.594139
3,0.0,0.0
4,0.5948334,0.59412706
5,0.59333336,0.5941113
6,0.60300004,0.59410083
7,0.588,0.5940917
8,0.5875,0.59408
9,0.59157145,0.59406585
10,0.6032,0.59405047
11,0.60130006,0.59403145
12,0.0,0.0
13,0.5976,0.5940065
14,0.5948,0.59398806
15,0.5971667,0.5939747
16,0.585,0.5939555
17,0.59975004,0.593939
18,0.59085715,0.5939182
19,0.58675,0.5938931
20,0.59800005,0.5938721
21,0.5981667,0.59384716
22,0.59227276,0.5938228
23,0.59650004,0.60238373
24,0.60249996,0.60235393
25,0.6001177,0.60233057
26,0.5983,0.6022977
27,0.5961111,0.602275
28,0.6025715,0.6022318
29,0.6084,0.60218877
30,0.6034375,0.60216033
31,0.59910524,0.6021234
32,0.59857696,0.6020779
33,0.6129667,0.604659
34,0.6076429,0.60572845
35,0.6090435,0.60565704
36,0.6030345,0.60557324
37,0.60420686,0.6054518
38,0.60730773,0.6053625
39,0.58631706,0.5916752
40,0.5665185,0.568023
41,0.5661852,0.5679639
42,0.5672857,0.5678831
43,0.5677632,0.567796
44,0.5668182,0.56858796
45,0.57162964,0.5738929
46,0.5703878,0.5737833
47,0.5782174,0.57366806
48,0.5773158,0.5735785
49,0.5770606,0.57471263
50,0.57759094,0.58152825
51,0.574973,0.58141804
52,0.57831997,0.5812815
53,0.5813243,0.58115596
54,0.5801333,0.58102
55,0.58697224,0.58272713
56,0.58332354,0.58346874
57,0.5803462,0.58333427
58,0.5895652,0.58322924
59,0.58953846,0.58312225
60,0.5862222,0.5830115
61,0.5790455,0.5867234
62,0.58714813,0.58877486
63,0.58942866,0.58867973
64,0.58517855,0.58859944
65,0.5903636,0.5885216
66,0.58273077,0.58845884
67,0.58399993,0.5884022
68,0.5945834,0.58835983
69,0.5845715,0.5883156
70,0.5935715,0.5882728
71,0.5850625,0.5907612
72,0.5885556,0.5921726
73,0.60028577,0.5921427
74,0.59711105,0.59210193
75,0.582,0.592103
76,0.60127276,0.5920558
77,0.5885,0.5920366
78,0.59511113,0.59202206
79,0.5884,0.5919806
80,0.599375,0.5919671
81,0.5901429,0.5919472
82,0.59333336,0.5919165
83,0.605,0.59189504
84,0.6045,0.5918773
85,0.59142864,0.5918506
86,0.59540004,0.59184706
87,0.59314287,0.59180874
88,0.0,0.0
89,0.5931667,0.59179366
90,0.5875,0.59177995
91,0.5730001,0.5917885
92,0.591,0.5917136
93,0.60833335,0.59177494
94,0.58439475,0.5916904
