,Valori Effettivi (north),Valori Predetti (north)
0,0.57861906,0.5805294
1,0.576,0.58024096
2,0.5786667,0.58104086
3,0.579,0.5810697
4,0.57850003,0.5810892
5,0.57514286,0.58093476
6,0.58,0.58088773
7,0.581,0.5808716
8,0.581,0.58089656
9,0.5774762,0.5809151
10,0.5747143,0.58097154
11,0.577,0.580975
12,0.579625,0.58097696
13,0.5779375,0.58058906
14,0.5783334,0.580428
15,0.58031577,0.58049786
16,0.58000004,0.58047026
17,0.5808,0.58050215
18,0.5858667,0.584537
19,0.58542866,0.58515394
20,0.5895384,0.5852058
21,0.5825882,0.5847271
22,0.582,0.58471626
23,0.5853236,0.5849509
24,0.58482355,0.58492404
25,0.5853269,0.5853772
26,0.5874444,0.5885041
27,0.58903575,0.5885336
28,0.5901924,0.588463
29,0.58512276,0.5854362
30,0.56105,0.56191427
31,0.55528575,0.56106216
32,0.5623158,0.5616541
33,0.56490993,0.5649866
34,0.5678125,0.5663333
35,0.5671321,0.56611454
36,0.56700003,0.56640667
37,0.57084846,0.5701994
38,0.56942266,0.5700161
39,0.5677222,0.57023793
40,0.5708261,0.57119685
41,0.576,0.57178557
42,0.5719286,0.5718365
43,0.5707273,0.57174045
44,0.5717887,0.5715229
45,0.57325006,0.5726164
46,0.572129,0.57483596
47,0.57365,0.5745099
48,0.57502776,0.57449204
49,0.5741351,0.5747481
50,0.57725,0.57461095
51,0.57566667,0.5747193
52,0.5761666,0.5778637
53,0.57299995,0.5778283
54,0.575125,0.5777507
55,0.577,0.5775726
56,0.57733333,0.5775405
57,0.57982355,0.5776242
58,0.57765216,0.5778097
59,0.5762857,0.577475
60,0.5744444,0.5774932
61,0.5737144,0.5774621
62,0.57883334,0.5776862
63,0.57725,0.57768023
64,0.576,0.57766545
65,0.5776667,0.5776924
66,0.58033335,0.5777663
67,0.57919997,0.57776594
68,0.5758333,0.5777571
